Date,Item Code,Item Desc,Category,Quantity,Total
5/1/17,25,PAPAS RUSTICAS,Fries,71,6745
5/1/17,190,POLLO BELGA,Sandwichs,9,1170
5/1/17,187,POLLO COSSAB,Sandwichs,6,780
5/1/17,159,QUESOS X 1,Tapas,9,1260
5/1/17,160,QUESOS X 2,Tapas,1,260
5/1/17,54,RABAS,Apetizers,29,5510
5/1/17,56,RABAS C/SALSAS,Apetizers,7,1505
5/1/17,55,RABAS PROV,Apetizers,10,2000
5/1/17,40,SALCH ALEMANA,Sausages,21,2940
5/1/17,42,SALCH DIABLO,Sausages,23,3450
5/1/17,27,SALCHIPAPAS BEL,Fries,55,7150
5/1/17,191,SANWUCHE BERNA,Sandwichs,16,1760
5/1/17,60,SUPER MILANESA,Entries,7,945
5/1/17,45,TABLA BRATWURST,Sausages,8,3120
5/1/17,82,TAPEO X2,Tapas,140,36400
5/1/17,57,TIRITAS POLL,Apetizers,31,3100
5/1/17,62,TORTILLA,Entries,16,1680
5/1/17,63,TORTILLA ESP,Entries,18,2160
5/1/17,66,WRAP CARNE,Sandwichs,14,2030
5/1/17,65,WRAP POLLO,Sandwichs,13,1690
5/1/17,64,WRAP VEGETA,Sandwichs,5,550
6/1/17,29,ADICIONAL PANCE,Fries,3,375
6/1/17,150,BAVIERA X 1,Tapas,4,580
6/1/17,151,BAVIERA X 2,Tapas,8,2080
6/1/17,59,BRUSQUETA HONG,Apetizers,8,805
6/1/17,58,BRUSQUETAS CRUD,Apetizers,10,855
6/1/17,73,C. CALABRESA,Pizzas,1,95
6/1/17,78,C. CAPRESSE,Pizzas,3,290
6/1/17,79,C. CRUDO RUCULA,Pizzas,2,210
6/1/17,75,C. JAMON,Pizzas,1,100
6/1/17,80,C. JAMON Y MORR,Pizzas,1,100
6/1/17,77,C. MORRONES,Pizzas,1,95
6/1/17,70,C. MUZZA,Pizzas,2,160
6/1/17,74,C. ROQUEFORT,Pizzas,1,90
6/1/17,49,CHOCOTORTA,Desserts,4,300
6/1/17,50,COPA MELBA,Desserts,26,1950
6/1/17,152,COSSAB X 1,Tapas,26,3780
6/1/17,153,COSSAB X 2,Tapas,33,8990
6/1/17,226,CUAD. DE MUZZA,Apetizers,40,4050
6/1/17,188,CUADRIL COSSAB,Sandwichs,5,735
6/1/17,189,CUDRIL VIKINGO,Sandwichs,14,2050
6/1/17,23,ESPAÑOLAS PICAN,Fries,31,2645
6/1/17,173,G. CALABRESA,Pizzas,5,850
6/1/17,178,G. CAPRESSE,Pizzas,1,165
6/1/17,179,G. CRUDO Y RUCU,Pizzas,4,745
6/1/17,171,G. FUGAZZETA,Pizzas,2,335
6/1/17,180,G. JAMON Y MORR,Pizzas,10,1905
6/1/17,177,G. MORRONES,Pizzas,1,170
6/1/17,170,G. MUZZA,Pizzas,12,1800
6/1/17,172,G. NAPOLITANA,Pizzas,7,1170
6/1/17,176,G. PROVOLONE,Pizzas,3,545
6/1/17,174,G. ROQUEFORT,Pizzas,5,850
6/1/17,236,HAMB ALEMANA,Hamburgers,20,2505
6/1/17,231,HAMB ARGENTA,Hamburgers,7,880
6/1/17,238,HAMB BRASILERA,Hamburgers,22,2760
6/1/17,241,HAMB CALABAZA,Hamburgers,8,920
6/1/17,239,HAMB CHARRUA,Hamburgers,15,1885
6/1/17,230,HAMB COSSAB,Hamburgers,28,3515
6/1/17,235,HAMB FRANCESA,Hamburgers,38,4765
6/1/17,237,HAMB KANGREBURG,Hamburgers,78,9785
6/1/17,243,HAMB LENTEJAS,Hamburgers,15,1735
6/1/17,234,HAMB MEXICANA,Hamburgers,23,2875
6/1/17,233,HAMB NORMANDA,Hamburgers,24,3020
6/1/17,240,HAMB NORTEAMERI,Hamburgers,93,11665
6/1/17,244,HAMB QUINOA,Hamburgers,20,2305
6/1/17,242,HAMB SUIZA,Hamburgers,56,7040
6/1/17,232,HAMB VIKINGA,Hamburgers,74,9280
6/1/17,34,MILA DE BERENJE,Entries,6,785
6/1/17,46,NACHOS,Apetizers,32,2810
6/1/17,32,PANCHO ALEMAN,Sausages,7,905
6/1/17,31,PANCHO PORTENO,Sausages,2,220
6/1/17,24,PAPAS 4 QUESOS,Fries,83,7975
6/1/17,26,PAPAS BARBACOA,Fries,9,855
6/1/17,28,PAPAS CHEDDAR,Fries,133,12635
6/1/17,22,PAPAS FRITAS,Fries,38.6,2722
6/1/17,25,PAPAS RUSTICAS,Fries,68,6485
6/1/17,190,POLLO BELGA,Sandwichs,7,910
6/1/17,187,POLLO COSSAB,Sandwichs,9,1170
6/1/17,159,QUESOS X 1,Tapas,8,1130
6/1/17,160,QUESOS X 2,Tapas,5,1320
6/1/17,54,RABAS,Apetizers,28,5360
6/1/17,56,RABAS C/SALSAS,Apetizers,3,645
6/1/17,55,RABAS PROV,Apetizers,11,2200
6/1/17,40,SALCH ALEMANA,Sausages,16,2260
6/1/17,42,SALCH DIABLO,Sausages,29,4370
6/1/17,27,SALCHIPAPAS BEL,Fries,62,8110
6/1/17,191,SANWUCHE BERNA,Sandwichs,15,1670
6/1/17,60,SUPER MILANESA,Entries,8,1080
6/1/17,45,TABLA BRATWURST,Sausages,7,2730
6/1/17,82,TAPEO X2,Tapas,159.5,41770
6/1/17,57,TIRITAS POLL,Apetizers,40,4040
6/1/17,62,TORTILLA,Entries,9,955
6/1/17,63,TORTILLA ESP,Entries,16,1930
6/1/17,66,WRAP CARNE,Sandwichs,9,1315
6/1/17,65,WRAP POLLO,Sandwichs,18,2365
6/1/17,64,WRAP VEGETA,Sandwichs,4,440
7/1/17,29,ADICIONAL PANCE,Fries,5,675
7/1/17,150,BAVIERA X 1,Tapas,8,1200
7/1/17,151,BAVIERA X 2,Tapas,7,1960
7/1/17,59,BRUSQUETA HONG,Apetizers,3,315
7/1/17,58,BRUSQUETAS CRUD,Apetizers,7,630
7/1/17,73,C. CALABRESA,Pizzas,1,100
7/1/17,79,C. CRUDO RUCULA,Pizzas,2,220
7/1/17,75,C. JAMON,Pizzas,1,100
7/1/17,70,C. MUZZA,Pizzas,7,595
7/1/17,72,C. NAPOLITANA,Pizzas,4,400
7/1/17,76,C. PROVOLONE,Pizzas,2,210
7/1/17,74,C. ROQUEFORT,Pizzas,1,100
7/1/17,49,CHOCOTORTA,Desserts,5,375
7/1/17,50,COPA MELBA,Desserts,18,1350
7/1/17,152,COSSAB X 1,Tapas,28,4340
7/1/17,153,COSSAB X 2,Tapas,36,10440
7/1/17,226,CUAD. DE MUZZA,Apetizers,38,4180
7/1/17,188,CUADRIL COSSAB,Sandwichs,9,1395
7/1/17,189,CUDRIL VIKINGO,Sandwichs,14,2170
7/1/17,23,ESPAÑOLAS PICAN,Fries,22,1980
7/1/17,173,G. CALABRESA,Pizzas,5,900
7/1/17,178,G. CAPRESSE,Pizzas,4,720
7/1/17,179,G. CRUDO Y RUCU,Pizzas,17,3485
7/1/17,171,G. FUGAZZETA,Pizzas,2,350
7/1/17,175,G. JAMON,Pizzas,2,360
7/1/17,180,G. JAMON Y MORR,Pizzas,9,1755
7/1/17,177,G. MORRONES,Pizzas,2,390
7/1/17,170,G. MUZZA,Pizzas,16,2480
7/1/17,172,G. NAPOLITANA,Pizzas,10,1800
7/1/17,176,G. PROVOLONE,Pizzas,11,2145
7/1/17,236,HAMB ALEMANA,Hamburgers,23,2990
7/1/17,231,HAMB ARGENTA,Hamburgers,11,1430
7/1/17,238,HAMB BRASILERA,Hamburgers,13,1690
7/1/17,241,HAMB CALABAZA,Hamburgers,7,840
7/1/17,239,HAMB CHARRUA,Hamburgers,12,1560
7/1/17,230,HAMB COSSAB,Hamburgers,41,5330
