Date,Item Code,Item Desc,Category,Quantity,Total
3/1/15,152,COSSAB X 1,Tapas,25,2998
3/1/15,153,COSSAB X 2,Tapas,30,6452
3/1/15,159,QUESOS X 1,Tapas,11,2022
3/1/15,160,QUESOS X 2,Tapas,4,840
3/1/15,170,G. MUZZA,Pizzas,17,2139
3/1/15,171,G. FUGAZZETA,Pizzas,3,683
3/1/15,172,G. NAPOLITANA,Pizzas,6,693
3/1/15,173,G. CALABRESA,Pizzas,4,518
3/1/15,174,G. ROQUEFORT,Pizzas,2,275
3/1/15,175,G. JAMON,Pizzas,2,376
3/1/15,176,G. PROVOLONE,Pizzas,3,445
3/1/15,177,G. MORRONES,Pizzas,2,315
3/1/15,178,G. CAPRESSE,Pizzas,3,502
3/1/15,179,G. CRUDO Y RUCU,Pizzas,8,1444
3/1/15,180,G. JAMON Y MORR,Pizzas,8,1328
3/1/15,187,POLLO COSSAB,Sandwichs,10,1429
3/1/15,188,CUADRIL COSSAB,Sandwichs,6,823
3/1/15,189,CUDRIL VIKINGO,Sandwichs,13,1717
3/1/15,190,POLLO BELGA,Sandwichs,9,982
3/1/15,191,SANWUCHE BERNA,Sandwichs,18,1755
3/1/15,226,CUAD. DE MUZZA,Apetizers,42,3856
3/1/15,230,HAMB COSSAB,Hamburgers,26,3084
3/1/15,231,HAMB ARGENTA,Hamburgers,10,1171
3/1/15,232,HAMB VIKINGA,Hamburgers,55,5958
3/1/15,233,HAMB NORMANDA,Hamburgers,15,1541
3/1/15,234,HAMB MEXICANA,Hamburgers,17,1752
3/1/15,235,HAMB FRANCESA,Hamburgers,31,3303
3/1/15,236,HAMB ALEMANA,Hamburgers,20,2363
3/1/15,237,HAMB KANGREBURG,Hamburgers,44,4821
3/1/15,238,HAMB BRASILERA,Hamburgers,11,1100
3/1/15,239,HAMB CHARRUA,Hamburgers,14,1688
3/1/15,240,HAMB NORTEAMERI,Hamburgers,76,8108
3/1/15,241,HAMB CALABAZA,Hamburgers,13,1449
3/1/15,242,HAMB SUIZA,Hamburgers,44,4964
3/1/15,243,HAMB LENTEJAS,Hamburgers,12,1156
3/1/15,244,HAMB QUINOA,Hamburgers,29,2856
4/1/15,22,PAPAS FRITAS,Fries,38,2496
4/1/15,23,ESPAÑOLAS PICAN,Fries,20,1476
4/1/15,24,PAPAS 4 QUESOS,Fries,46,3743
4/1/15,25,PAPAS RUSTICAS,Fries,38,3028
4/1/15,26,PAPAS BARBACOA,Fries,10,858
4/1/15,27,SALCHIPAPAS BEL,Fries,54,5577
4/1/15,28,PAPAS CHEDDAR,Fries,109,8950
4/1/15,29,ADICIONAL PANCE,Fries,4,393
4/1/15,31,PANCHO PORTENO,Sausages,2,805
4/1/15,32,PANCHO ALEMAN,Sausages,2,1131
4/1/15,33,PANCHO YANKI,Sausages,2,735
4/1/15,34,MILA DE BERENJE,Entries,6,908
4/1/15,40,SALCH ALEMANA,Sausages,12,1351
4/1/15,42,SALCH DIABLO,Sausages,11,1420
4/1/15,45,TABLA BRATWURST,Sausages,7,2451
4/1/15,46,NACHOS,Apetizers,23,1600
4/1/15,49,CHOCOTORTA,Desserts,4,246
4/1/15,50,COPA MELBA,Desserts,11,594
4/1/15,54,RABAS,Apetizers,21,3402
4/1/15,55,RABAS PROV,Apetizers,6,972
4/1/15,56,RABAS C/SALSAS,Apetizers,3,1338
4/1/15,57,TIRITAS POLL,Apetizers,28,2702
4/1/15,58,BRUSQUETAS CRUD,Apetizers,8,695
4/1/15,59,BRUSQUETA HONG,Apetizers,6,641
4/1/15,60,SUPER MILANESA,Entries,9,1488
4/1/15,61,SUPREMA FUGAZE,Entries,4,1400
4/1/15,62,TORTILLA,Entries,9,902
4/1/15,63,TORTILLA ESP,Entries,14,1398
4/1/15,64,WRAP VEGETA,Sandwichs,4,436
4/1/15,65,WRAP POLLO,Sandwichs,23,2998
4/1/15,66,WRAP CARNE,Sandwichs,12,1761
4/1/15,70,C. MUZZA,Pizzas,6,441
4/1/15,71,C. FUGAZZETA,Pizzas,2,161
4/1/15,72,C. NAPOLITANA,Pizzas,3,219
4/1/15,73,C. CALABRESA,Pizzas,3,280
4/1/15,74,C. ROQUEFORT,Pizzas,1,118
4/1/15,75,C. JAMON,Pizzas,2,168
4/1/15,76,C. PROVOLONE,Pizzas,3,175
4/1/15,77,C. MORRONES,Pizzas,1,86
4/1/15,78,C. CAPRESSE,Pizzas,2,139
4/1/15,79,C. CRUDO RUCULA,Pizzas,4,365
4/1/15,80,C. JAMON Y MORR,Pizzas,3,268
4/1/15,82,TAPEO X2,Tapas,139,29680
4/1/15,90,BONDIOLA NEGRA,Entries,14,1985
4/1/15,150,BAVIERA X 1,Tapas,9,1013
4/1/15,151,BAVIERA X 2,Tapas,9,1934
4/1/15,152,COSSAB X 1,Tapas,22,2575
4/1/15,153,COSSAB X 2,Tapas,23,4954
4/1/15,159,QUESOS X 1,Tapas,6,789
4/1/15,160,QUESOS X 2,Tapas,3,462
4/1/15,170,G. MUZZA,Pizzas,9,1080
4/1/15,171,G. FUGAZZETA,Pizzas,2,279
4/1/15,172,G. NAPOLITANA,Pizzas,5,868
4/1/15,173,G. CALABRESA,Pizzas,2,264
4/1/15,174,G. ROQUEFORT,Pizzas,3,371
4/1/15,175,G. JAMON,Pizzas,2,385
4/1/15,176,G. PROVOLONE,Pizzas,4,511
4/1/15,177,G. MORRONES,Pizzas,1,203
4/1/15,178,G. CAPRESSE,Pizzas,5,704
4/1/15,179,G. CRUDO Y RUCU,Pizzas,5,744
4/1/15,180,G. JAMON Y MORR,Pizzas,7,1458
4/1/15,187,POLLO COSSAB,Sandwichs,6,611
4/1/15,188,CUADRIL COSSAB,Sandwichs,6,865
4/1/15,189,CUDRIL VIKINGO,Sandwichs,8,1098
4/1/15,190,POLLO BELGA,Sandwichs,7,761
4/1/15,191,SANWUCHE BERNA,Sandwichs,10,1349
4/1/15,226,CUAD. DE MUZZA,Apetizers,31,3498
4/1/15,230,HAMB COSSAB,Hamburgers,24,2932
4/1/15,231,HAMB ARGENTA,Hamburgers,9,956
4/1/15,232,HAMB VIKINGA,Hamburgers,56,5812
4/1/15,233,HAMB NORMANDA,Hamburgers,10,1258
4/1/15,234,HAMB MEXICANA,Hamburgers,21,2125
4/1/15,235,HAMB FRANCESA,Hamburgers,27,3008
4/1/15,236,HAMB ALEMANA,Hamburgers,14,1520
4/1/15,237,HAMB KANGREBURG,Hamburgers,50,5300
4/1/15,238,HAMB BRASILERA,Hamburgers,14,1798
4/1/15,239,HAMB CHARRUA,Hamburgers,9,1311
4/1/15,240,HAMB NORTEAMERI,Hamburgers,73,9091
4/1/15,241,HAMB CALABAZA,Hamburgers,10,1451
4/1/15,242,HAMB SUIZA,Hamburgers,46,5198
4/1/15,243,HAMB LENTEJAS,Hamburgers,14,1281
4/1/15,244,HAMB QUINOA,Hamburgers,23,2198
5/1/15,22,PAPAS FRITAS,Fries,36,1965
5/1/15,23,ESPAÑOLAS PICAN,Fries,19,1250
5/1/15,24,PAPAS 4 QUESOS,Fries,57,4225
5/1/15,25,PAPAS RUSTICAS,Fries,49,3498
5/1/15,26,PAPAS BARBACOA,Fries,13,921
5/1/15,27,SALCHIPAPAS BEL,Fries,51,5079
5/1/15,28,PAPAS CHEDDAR,Fries,102,7474
5/1/15,29,ADICIONAL PANCE,Fries,2,210
5/1/15,31,PANCHO PORTENO,Sausages,4,438
5/1/15,32,PANCHO ALEMAN,Sausages,2,336
5/1/15,33,PANCHO YANKI,Sausages,2,189
5/1/15,34,MILA DE BERENJE,Entries,6,707
5/1/15,40,SALCH ALEMANA,Sausages,17,1803
5/1/15,42,SALCH DIABLO,Sausages,15,1985
5/1/15,45,TABLA BRATWURST,Sausages,11,3026
5/1/15,46,NACHOS,Apetizers,18,1199
5/1/15,49,CHOCOTORTA,Desserts,4,306
5/1/15,50,COPA MELBA,Desserts,18,1155
5/1/15,54,RABAS,Apetizers,25,3777
5/1/15,55,RABAS PROV,Apetizers,9,1400
5/1/15,56,RABAS C/SALSAS,Apetizers,5,964
5/1/15,57,TIRITAS POLL,Apetizers,29,2268
5/1/15,58,BRUSQUETAS CRUD,Apetizers,9,632
5/1/15,59,BRUSQUETA HONG,Apetizers,6,569
5/1/15,60,SUPER MILANESA,Entries,7,735
5/1/15,61,SUPREMA FUGAZE,Entries,1,1400
5/1/15,62,TORTILLA,Entries,10,1061
5/1/15,63,TORTILLA ESP,Entries,16,1701
5/1/15,64,WRAP VEGETA,Sandwichs,9,781
5/1/15,65,WRAP POLLO,Sandwichs,15,1568
5/1/15,66,WRAP CARNE,Sandwichs,11,1365
5/1/15,70,C. MUZZA,Pizzas,4,210
5/1/15,71,C. FUGAZZETA,Pizzas,2,109
5/1/15,72,C. NAPOLITANA,Pizzas,1,67
5/1/15,73,C. CALABRESA,Pizzas,2,280
5/1/15,74,C. ROQUEFORT,Pizzas,2,144
5/1/15,75,C. JAMON,Pizzas,3,200
5/1/15,76,C. PROVOLONE,Pizzas,2,140
5/1/15,77,C. MORRONES,Pizzas,1,74
5/1/15,78,C. CAPRESSE,Pizzas,1,74
5/1/15,79,C. CRUDO RUCULA,Pizzas,4,315
5/1/15,80,C. JAMON Y MORR,Pizzas,1,79
5/1/15,82,TAPEO X2,Tapas,125,24868
5/1/15,90,BONDIOLA NEGRA,Entries,27,3497
5/1/15,150,BAVIERA X 1,Tapas,6,651
5/1/15,151,BAVIERA X 2,Tapas,7,1267
5/1/15,152,COSSAB X 1,Tapas,21,2279
5/1/15,153,COSSAB X 2,Tapas,27,5460
5/1/15,159,QUESOS X 1,Tapas,5,501
5/1/15,160,QUESOS X 2,Tapas,2,315
5/1/15,170,G. MUZZA,Pizzas,12,1279
5/1/15,171,G. FUGAZZETA,Pizzas,1,128
5/1/15,172,G. NAPOLITANA,Pizzas,3,336
5/1/15,173,G. CALABRESA,Pizzas,3,371
5/1/15,174,G. ROQUEFORT,Pizzas,5,595
5/1/15,175,G. JAMON,Pizzas,2,266
5/1/15,176,G. PROVOLONE,Pizzas,2,292
5/1/15,177,G. MORRONES,Pizzas,2,266
5/1/15,178,G. CAPRESSE,Pizzas,7,966
5/1/15,179,G. CRUDO Y RUCU,Pizzas,8,1050
5/1/15,180,G. JAMON Y MORR,Pizzas,9,1523
5/1/15,187,POLLO COSSAB,Sandwichs,6,609
5/1/15,188,CUADRIL COSSAB,Sandwichs,6,704
5/1/15,189,CUDRIL VIKINGO,Sandwichs,7,805
5/1/15,190,POLLO BELGA,Sandwichs,6,746
5/1/15,191,SANWUCHE BERNA,Sandwichs,11,1155
5/1/15,226,CUAD. DE MUZZA,Apetizers,36,3063
5/1/15,230,HAMB COSSAB,Hamburgers,21,1964
5/1/15,231,HAMB ARGENTA,Hamburgers,10,1215
5/1/15,232,HAMB VIKINGA,Hamburgers,48,5362
5/1/15,233,HAMB NORMANDA,Hamburgers,17,1629
5/1/15,234,HAMB MEXICANA,Hamburgers,20,2188
5/1/15,235,HAMB FRANCESA,Hamburgers,28,3442
5/1/15,236,HAMB ALEMANA,Hamburgers,17,1664
5/1/15,237,HAMB KANGREBURG,Hamburgers,53,5415
5/1/15,238,HAMB BRASILERA,Hamburgers,17,1600
5/1/15,239,HAMB CHARRUA,Hamburgers,8,770
5/1/15,240,HAMB NORTEAMERI,Hamburgers,73,8332
5/1/15,241,HAMB CALABAZA,Hamburgers,6,471
5/1/15,242,HAMB SUIZA,Hamburgers,39,4793
5/1/15,243,HAMB LENTEJAS,Hamburgers,11,970
5/1/15,244,HAMB QUINOA,Hamburgers,16,1374
6/1/15,22,PAPAS FRITAS,Fries,37,2088
6/1/15,23,ESPAÑOLAS PICAN,Fries,21,1300
6/1/15,24,PAPAS 4 QUESOS,Fries,68,5140
6/1/15,25,PAPAS RUSTICAS,Fries,52,3880
6/1/15,26,PAPAS BARBACOA,Fries,11,844
6/1/15,27,SALCHIPAPAS BEL,Fries,61,6206
6/1/15,28,PAPAS CHEDDAR,Fries,121,8909
6/1/15,29,ADICIONAL PANCE,Fries,8,352
6/1/15,31,PANCHO PORTENO,Sausages,2,158
6/1/15,32,PANCHO ALEMAN,Sausages,4,397
6/1/15,33,PANCHO YANKI,Sausages,2,189
6/1/15,34,MILA DE BERENJE,Entries,6,557
6/1/15,40,SALCH ALEMANA,Sausages,18,1957
6/1/15,42,SALCH DIABLO,Sausages,19,2443
6/1/15,45,TABLA BRATWURST,Sausages,7,3378
6/1/15,46,NACHOS,Apetizers,25,1722
6/1/15,49,CHOCOTORTA,Desserts,6,371
6/1/15,50,COPA MELBA,Desserts,16,879
6/1/15,54,RABAS,Apetizers,22,3224
6/1/15,55,RABAS PROV,Apetizers,8,1208
6/1/15,56,RABAS C/SALSAS,Apetizers,6,929
6/1/15,57,TIRITAS POLL,Apetizers,37,3336
6/1/15,58,BRUSQUETAS CRUD,Apetizers,12,929
6/1/15,59,BRUSQUETA HONG,Apetizers,6,733
6/1/15,60,SUPER MILANESA,Entries,7,2091
6/1/15,61,SUPREMA FUGAZE,Entries,6,1694
6/1/15,62,TORTILLA,Entries,8,875
6/1/15,63,TORTILLA ESP,Entries,15,1418
6/1/15,64,WRAP VEGETA,Sandwichs,6,501
6/1/15,65,WRAP POLLO,Sandwichs,17,2093
6/1/15,66,WRAP CARNE,Sandwichs,9,1605
6/1/15,70,C. MUZZA,Pizzas,4,233
6/1/15,71,C. FUGAZZETA,Pizzas,2,109
6/1/15,72,C. NAPOLITANA,Pizzas,2,168
6/1/15,73,C. CALABRESA,Pizzas,1,67
6/1/15,74,C. ROQUEFORT,Pizzas,1,63
6/1/15,75,C. JAMON,Pizzas,2,161
6/1/15,76,C. PROVOLONE,Pizzas,2,168
6/1/15,77,C. MORRONES,Pizzas,1,74
6/1/15,78,C. CAPRESSE,Pizzas,2,142
6/1/15,79,C. CRUDO RUCULA,Pizzas,2,119
6/1/15,80,C. JAMON Y MORR,Pizzas,2,123
6/1/15,82,TAPEO X2,Tapas,143,28943
6/1/15,90,BONDIOLA NEGRA,Entries,26,3409
6/1/15,150,BAVIERA X 1,Tapas,6,693
6/1/15,151,BAVIERA X 2,Tapas,9,1754
6/1/15,152,COSSAB X 1,Tapas,20,2144
6/1/15,153,COSSAB X 2,Tapas,24,4900
6/1/15,159,QUESOS X 1,Tapas,8,826
6/1/15,160,QUESOS X 2,Tapas,5,917
6/1/15,170,G. MUZZA,Pizzas,10,1138
6/1/15,171,G. FUGAZZETA,Pizzas,3,336
6/1/15,172,G. NAPOLITANA,Pizzas,6,788
6/1/15,173,G. CALABRESA,Pizzas,4,522
6/1/15,174,G. ROQUEFORT,Pizzas,5,595
6/1/15,175,G. JAMON,Pizzas,4,602
6/1/15,176,G. PROVOLONE,Pizzas,3,422
6/1/15,177,G. MORRONES,Pizzas,1,133
6/1/15,178,G. CAPRESSE,Pizzas,4,502
6/1/15,179,G. CRUDO Y RUCU,Pizzas,6,912
6/1/15,180,G. JAMON Y MORR,Pizzas,7,912
6/1/15,187,POLLO COSSAB,Sandwichs,7,637
6/1/15,188,CUADRIL COSSAB,Sandwichs,7,812
